param_index,param_name,unit,norm_value,readback,display
7,"Res Var."," %",0.750000,0.750000,"75"
7,"Res Var."," %",0.781250,0.780000,"78"
7,"Res Var."," %",0.812500,0.810000,"81"
7,"Res Var."," %",0.843750,0.840000,"84"
7,"Res Var."," %",0.875000,0.870000,"87"
7,"Res Var."," %",0.906250,0.900000,"90"
7,"Res Var."," %",0.937500,0.930000,"93"
7,"Res Var."," %",0.968750,0.960000,"96"
7,"Res Var."," %",1.000000,1.000000,"100"
8,"Noise Var."," %",0.000000,0.000000,"0"
8,"Noise Var."," %",0.031250,0.030000,"3"
8,"Noise Var."," %",0.062500,0.060000,"6"
8,"Noise Var."," %",0.093750,0.090000,"9"
8,"Noise Var."," %",0.125000,0.120000,"12"
8,"Noise Var."," %",0.156250,0.150000,"15"
8,"Noise Var."," %",0.187500,0.180000,"18"
8,"Noise Var."," %",0.218750,0.210000,"21"
8,"Noise Var."," %",0.250000,0.250000,"25"
8,"Noise Var."," %",0.281250,0.280000,"28"
8,"Noise Var."," %",0.312500,0.310000,"31"
8,"Noise Var."," %",0.343750,0.340000,"34"
8,"Noise Var."," %",0.375000,0.370000,"37"
8,"Noise Var."," %",0.406250,0.400000,"40"
8,"Noise Var."," %",0.437500,0.430000,"43"
8,"Noise Var."," %",0.468750,0.460000,"46"
8,"Noise Var."," %",0.500000,0.500000,"50"
8,"Noise Var."," %",0.531250,0.530000,"53"
8,"Noise Var."," %",0.562500,0.560000,"56"
8,"Noise Var."," %",0.593750,0.590000,"59"
8,"Noise Var."," %",0.625000,0.620000,"62"
8,"Noise Var."," %",0.656250,0.650000,"65"
8,"Noise Var."," %",0.687500,0.680000,"68"
8,"Noise Var."," %",0.718750,0.710000,"71"
8,"Noise Var."," %",0.750000,0.750000,"75"
8,"Noise Var."," %",0.781250,0.780000,"78"
8,"Noise Var."," %",0.812500,0.810000,"81"
8,"Noise Var."," %",0.843750,0.840000,"84"
8,"Noise Var."," %",0.875000,0.870000,"87"
8,"Noise Var."," %",0.906250,0.900000,"90"
8,"Noise Var."," %",0.937500,0.930000,"93"
8,"Noise Var."," %",0.968750,0.960000,"96"
8,"Noise Var."," %",1.000000,1.000000,"100"
9,"Speed"," %",0.000000,0.000000,"0"
9,"Speed"," %",0.031250,0.030000,"3"
9,"Speed"," %",0.062500,0.060000,"6"
9,"Speed"," %",0.093750,0.090000,"9"
9,"Speed"," %",0.125000,0.120000,"12"
9,"Speed"," %",0.156250,0.150000,"15"
9,"Speed"," %",0.187500,0.180000,"18"
9,"Speed"," %",0.218750,0.210000,"21"
9,"Speed"," %",0.250000,0.250000,"25"
9,"Speed"," %",0.281250,0.280000,"28"
9,"Speed"," %",0.312500,0.310000,"31"
9,"Speed"," %",0.343750,0.340000,"34"
9,"Speed"," %",0.375000,0.370000,"37"
9,"Speed"," %",0.406250,0.400000,"40"
9,"Speed"," %",0.437500,0.430000,"43"
9,"Speed"," %",0.468750,0.460000,"46"
9,"Speed"," %",0.500000,0.500000,"50"
9,"Speed"," %",0.531250,0.530000,"53"
9,"Speed"," %",0.562500,0.560000,"56"
9,"Speed"," %",0.593750,0.590000,"59"
9,"Speed"," %",0.625000,0.620000,"62"
9,"Speed"," %",0.656250,0.650000,"65"
9,"Speed"," %",0.687500,0.680000,"68"
9,"Speed"," %",0.718750,0.710000,"71"
9,"Speed"," %",0.750000,0.750000,"75"
9,"Speed"," %",0.781250,0.780000,"78"
9,"Speed"," %",0.812500,0.810000,"81"
9,"Speed"," %",0.843750,0.840000,"84"
9,"Speed"," %",0.875000,0.870000,"87"
9,"Speed"," %",0.906250,0.900000,"90"
9,"Speed"," %",0.937500,0.930000,"93"
9,"Speed"," %",0.968750,0.960000,"96"
9,"Speed"," %",1.000000,1.000000,"100"
10,"Speed LFO"," %",0.000000,0.000000,"0"
10,"Speed LFO"," %",0.031250,0.030000,"3"
10,"Speed LFO"," %",0.062500,0.060000,"6"
10,"Speed LFO"," %",0.093750,0.090000,"9"
10,"Speed LFO"," %",0.125000,0.120000,"12"
10,"Speed LFO"," %",0.156250,0.150000,"15"
10,"Speed LFO"," %",0.187500,0.180000,"18"
10,"Speed LFO"," %",0.218750,0.210000,"21"
10,"Speed LFO"," %",0.250000,0.250000,"25"
10,"Speed LFO"," %",0.281250,0.280000,"28"
10,"Speed LFO"," %",0.312500,0.310000,"31"
